Date,SPX Open,SPX Low,SPX High,SPX Close
22/04/1994,448.73,447.16,449.96,447.63
21/04/1994,441.96,441.96,449.14,448.73
20/04/1994,442.54,439.40,445.01,441.96
19/04/1994,442.54,438.83,444.82,442.54
18/04/1994,446.27,441.48,447.87,442.46
15/04/1994,446.38,445.81,447.85,446.18
14/04/1994,446.26,443.57,447.55,446.38
13/04/1994,447.63,442.62,448.57,446.26
12/04/1994,449.83,447.33,450.80,447.57
11/04/1994,447.12,447.10,450.34,449.87
08/04/1994,450.89,445.51,450.89,447.10
07/04/1994,448.11,446.38,451.10,450.88
06/04/1994,448.29,444.98,449.63,448.05
05/04/1994,439.14,438.92,448.29,448.29
04/04/1994,445.66,435.86,445.77,438.92
31/03/1994,445.55,436.16,447.16,445.77
30/03/1994,452.40,445.55,452.49,445.55
29/03/1994,460.03,452.43,460.32,452.48
28/03/1994,460.58,456.10,461.12,460.00
25/03/1994,464.35,460.58,465.29,460.58
24/03/1994,468.57,462.41,468.57,464.35
23/03/1994,468.89,468.52,470.38,468.54
22/03/1994,468.40,467.88,470.47,468.80
21/03/1994,471.06,467.23,471.06,468.54
18/03/1994,470.89,467.83,471.09,471.06
17/03/1994,469.42,468.62,471.05,470.90
16/03/1994,467.04,465.48,469.85,469.42
15/03/1994,467.36,466.04,468.99,467.01
14/03/1994,466.44,466.08,467.60,467.39
11/03/1994,463.86,462.54,466.61,466.44
10/03/1994,467.08,462.46,467.29,463.90
09/03/1994,465.94,463.40,467.42,467.06
08/03/1994,466.92,465.02,467.79,465.88
07/03/1994,464.74,464.74,468.07,466.91
04/03/1994,463.03,462.41,466.16,464.74
03/03/1994,464.81,462.50,464.83,463.01
02/03/1994,464.40,457.67,464.88,464.81
01/03/1994,467.19,462.02,467.43,464.44
28/02/1994,466.07,466.07,469.16,467.14
25/02/1994,464.33,464.26,466.48,466.07
24/02/1994,470.65,464.26,470.69,464.26
23/02/1994,471.48,469.47,472.41,470.69
22/02/1994,467.69,467.58,471.65,471.46
18/02/1994,470.29,466.07,471.09,467.69
17/02/1994,472.79,468.26,475.13,470.34
16/02/1994,472.53,471.94,474.16,472.79
15/02/1994,470.23,470.23,473.41,472.52
14/02/1994,470.18,469.05,471.99,470.23
11/02/1994,468.91,466.89,471.13,470.18
10/02/1994,472.81,468.91,473.13,468.93
09/02/1994,471.05,471.05,473.41,472.77
08/02/1994,471.74,469.50,472.33,471.05
07/02/1994,469.81,467.57,472.09,471.76
04/02/1994,480.68,469.28,481.02,469.81
03/02/1994,481.96,478.71,482.00,480.71
02/02/1994,479.62,479.57,482.23,482.00
01/02/1994,481.60,479.18,481.64,479.62
31/01/1994,478.70,478.70,482.85,481.61
28/01/1994,477.05,477.05,479.75,478.70
27/01/1994,473.20,473.20,477.52,477.05
26/01/1994,470.92,470.72,473.44,473.20
25/01/1994,471.97,470.27,472.56,470.92
24/01/1994,474.72,471.49,475.20,471.97
21/01/1994,475.07,473.72,475.56,474.72
20/01/1994,474.30,473.42,475.00,474.98
19/01/1994,473.97,472.21,474.71,474.30
18/01/1994,473.30,473.29,475.19,474.25
17/01/1994,474.91,472.84,474.91,473.30
14/01/1994,472.50,472.47,475.32,474.91
13/01/1994,474.17,471.80,474.17,472.47
12/01/1994,474.13,472.14,475.06,474.17
11/01/1994,475.27,473.27,475.28,474.13
10/01/1994,469.90,469.55,475.27,475.27
07/01/1994,467.09,467.03,470.26,469.90
06/01/1994,467.55,467.02,469.00,467.12
05/01/1994,466.89,465.92,467.82,467.55
04/01/1994,465.44,464.44,466.89,466.89
03/01/1994,466.51,464.36,466.94,465.44
31/12/1993,468.66,466.45,470.75,466.45
30/12/1993,470.58,468.09,470.58,468.64
29/12/1993,470.88,469.87,471.29,470.58
28/12/1993,470.61,469.43,471.05,470.94
27/12/1993,467.40,467.35,470.55,470.54
23/12/1993,467.30,467.30,468.97,467.38
22/12/1993,465.08,465.08,467.38,467.32
21/12/1993,465.84,464.03,465.92,465.30
20/12/1993,466.38,465.53,466.89,465.85
17/12/1993,463.34,463.34,466.38,466.38
16/12/1993,461.86,461.84,463.98,463.34
15/12/1993,463.07,461.84,463.69,461.84
14/12/1993,465.73,462.46,466.12,463.06
13/12/1993,463.93,462.71,465.71,465.70
10/12/1993,464.18,462.66,464.87,463.93
09/12/1993,466.29,463.87,466.54,464.18
08/12/1993,466.73,465.42,466.76,466.29
07/12/1993,466.43,465.44,466.77,466.76
06/12/1993,464.89,464.40,466.89,466.43
03/12/1993,463.13,462.67,464.89,464.89
02/12/1993,461.89,461.45,463.22,463.11
01/12/1993,461.93,461.63,464.47,461.89
30/11/1993,461.90,460.45,463.62,461.79
29/11/1993,463.06,461.83,464.83,461.90
26/11/1993,462.36,462.36,463.63,463.06
24/11/1993,461.03,461.03,462.90,462.36
23/11/1993,459.13,458.47,461.77,461.03
22/11/1993,462.60,457.08,462.60,459.13
19/11/1993,463.59,460.03,463.62,462.60
18/11/1993,464.83,461.73,464.88,463.62
17/11/1993,466.74,462.73,467.24,464.81
16/11/1993,463.75,462.98,466.74,466.74
15/11/1993,465.39,462.96,466.13,463.75
12/11/1993,462.64,462.64,465.84,465.39
11/11/1993,463.72,462.49,464.96,462.64
10/11/1993,460.40,459.57,463.72,463.72
09/11/1993,460.21,460.21,463.42,460.33
08/11/1993,459.57,458.78,461.54,460.21
05/11/1993,457.47,454.36,459.63,459.57
04/11/1993,463.03,457.22,463.11,457.49
03/11/1993,468.44,460.95,468.61,463.02
02/11/1993,469.10,466.20,469.10,468.44
01/11/1993,467.83,467.33,469.11,469.10
29/10/1993,467.72,467.37,468.20,467.83
28/10/1993,464.52,464.52,468.76,467.73
27/10/1993,464.30,463.36,464.61,464.61
26/10/1993,464.20,462.65,464.32,464.30
25/10/1993,463.27,462.05,464.49,464.20
22/10/1993,465.36,463.27,467.83,463.27
21/10/1993,466.06,464.38,466.64,465.36
20/10/1993,466.21,464.54,466.87,466.07
19/10/1993,468.41,464.80,468.63,466.21
18/10/1993,469.50,468.02,470.04,468.45
15/10/1993,466.90,466.83,471.10,469.50
14/10/1993,461.55,461.49,466.83,466.83
13/10/1993,461.12,460.76,461.98,461.49
12/10/1993,461.04,460.73,462.47,461.12
11/10/1993,461.08,460.31,461.87,460.88
08/10/1993,459.20,456.40,460.99,460.31
07/10/1993,460.71,459.08,461.13,459.18
06/10/1993,461.24,460.26,462.60,460.74
05/10/1993,461.34,459.45,463.15,461.20
04/10/1993,461.18,460.02,461.80,461.34
01/10/1993,458.93,458.35,461.48,461.29
30/09/1993,460.11,458.28,460.56,458.93
29/09/1993,461.60,459.51,462.17,460.11
28/09/1993,461.84,460.91,462.08,461.53
27/09/1993,457.63,457.63,461.81,461.80
24/09/1993,457.74,456.92,458.56,457.63
23/09/1993,456.25,456.20,458.69,457.74
22/09/1993,452.95,452.95,456.62,456.20
21/09/1993,455.05,449.64,455.80,452.95
20/09/1993,458.84,455.00,459.91,455.05
17/09/1993,459.43,457.09,459.43,458.83
16/09/1993,461.60,459.00,461.60,459.43
15/09/1993,459.90,456.31,461.96,461.60
14/09/1993,461.93,458.15,462.06,459.90
13/09/1993,461.70,461.41,463.38,462.06
10/09/1993,457.49,457.49,461.86,461.72
09/09/1993,456.65,455.17,458.11,457.50
08/09/1993,458.53,453.75,458.53,456.65
07/09/1993,461.34,457.95,462.07,458.52
03/09/1993,461.30,459.91,462.05,461.34
02/09/1993,463.13,461.07,463.54,461.30
01/09/1993,463.55,461.77,463.80,463.15
31/08/1993,461.90,461.29,463.56,463.56
30/08/1993,460.54,460.28,462.58,461.90
27/08/1993,461.05,459.19,461.05,460.54
26/08/1993,460.04,458.82,462.87,461.04
25/08/1993,459.75,459.30,462.04,460.13
24/08/1993,455.23,455.04,459.77,459.77
23/08/1993,456.12,454.29,456.16,455.23
20/08/1993,456.51,454.60,456.68,456.16
19/08/1993,456.01,455.20,456.76,456.43
18/08/1993,453.21,453.13,456.99,456.04
17/08/1993,452.38,451.97,453.60,453.13
16/08/1993,450.25,450.24,453.45,452.38
13/08/1993,448.97,448.96,450.25,450.14
12/08/1993,450.47,447.53,451.63,448.96
11/08/1993,449.60,449.45,451.00,450.46
10/08/1993,450.71,449.10,450.72,449.45
09/08/1993,448.68,448.31,451.51,450.72
06/08/1993,448.13,447.87,449.26,448.68
05/08/1993,448.55,446.94,449.61,448.13
04/08/1993,449.27,447.93,449.72,448.54
03/08/1993,450.12,447.59,450.43,449.27
02/08/1993,448.14,448.03,450.15,450.15
30/07/1993,450.19,446.98,450.24,448.13
29/07/1993,447.19,447.19,450.77,450.24
28/07/1993,448.25,446.59,448.61,447.19
27/07/1993,449.00,446.76,449.44,448.24
26/07/1993,447.06,447.04,449.50,449.09
23/07/1993,444.54,444.51,447.10,447.10
22/07/1993,447.18,443.72,447.23,444.51
21/07/1993,447.28,445.84,447.50,447.18
20/07/1993,446.03,443.71,447.63,447.31
19/07/1993,445.75,444.83,446.78,446.03
16/07/1993,449.07,445.66,449.22,445.75
15/07/1993,450.09,447.26,450.12,449.22
14/07/1993,448.08,448.08,451.12,450.08
13/07/1993,449.00,448.07,450.70,448.09
12/07/1993,448.18,447.71,449.11,448.98
09/07/1993,448.64,446.74,448.96,448.13
08/07/1993,442.84,442.83,448.64,448.64
07/07/1993,441.40,441.40,443.63,442.83
06/07/1993,445.86,441.42,446.87,441.43
02/07/1993,449.02,445.20,449.02,445.84
01/07/1993,450.54,448.71,451.15,449.02
30/06/1993,450.69,450.15,451.47,450.53
29/06/1993,451.89,449.67,451.90,450.69
28/06/1993,447.60,447.60,451.90,451.85
